junction,lat,long,junction_corrected
UrvashiJunction,12.9554,77.5831,Urvashi Junctiontion
LalbaghMainGateJunc,12.9525,77.5841,Lalbagh Main Gate Junction
QueensStatueCircle,12.979,77.599,Queens Statue Circle
MysoreRd-RingRdJunc(Nayandanahallii),12.9431,77.5255,Mysore Road - Ring Road Junction(Nayandanahallii)
HebbalFlyoverJunc,13.036,77.597,Hebbal Flyover Junction
28thMainJayanagarJunc,12.9248,77.5925,28th Main Jayanagar Junction
Peenya14thCrossJunc,13.0298,77.523,Peenya14th Cross Junction
SilkBoardJunc,12.9177,77.6229,Silk Board Junction
RingRoad-UllalJunction,12.961,77.502,Ring Road - Ullal Junctiontion
BhadrappaLayout,13.0489,77.575,Bhadrappa Layout
IbblurJunction',12.9248,77.6661,Ibblur Junctiontion
Sumanhalli,12.9818,77.514,Sumanhalli
BucheryJunction,,,Buchery Junctiontion
PotteryCircle,12.9975,77.6111,Pottery Circle
"VeerannapalyaJunction(BEL,HO)",13.045,77.62,"Veerannapalya Junctiontion(BEL,HO)"
JP Nagar 15th cross junction,12.908,77.585,JP Nagar 15th cross junction
TrinityCircle,12.973,77.616,Trinity Circle
CID-CarltonHouseJunc,12.982,77.59,CID - Carlton House Junction
CoffeeBoardJunc,12.981,77.596,Coffee Board Junction
PoliceTimmaiahCircle(GPO),12.9815,77.5955,Police Timmaiah Circle(GPO)
Delmia-Jayanagar,12.909,77.59,Delmia - Jayanagar
SirsiCircle,12.96,77.562,Sirsi Circle
K R Circle,12.975,77.587,K R Circle
CMP GateJunc,12.963,77.618,CMP Gate Junction
YelhankaCircle,13.1,77.596,Yelhanka Circle
SubedarChatramRd near SheshadripuramPS,12.985,77.575,Subedar Chatram Road near Sheshadripuram PS
ModiBridgeJunction,,,Modi Bridge Junctiontion
KrishnaFlourMill,,,Krishna Flour Mill
Richmond circle jn,12.964,77.597,Richmond circle jn
WilsonGarden10thCrossJunc,12.947,77.595,Wilson Garden10th Cross Junction
MICO Bande,12.915,77.612,MICO Bande
MekhriCircle,13.003,77.588,Mekhri Circle
Bamboobazar(Shivajinagar),12.985,77.603,Bamboobazar(Shivajinagar)
HainsJunc,12.994,77.604,Hains Junction
BagalakunteCrossJunction,13.048,77.502,Bagalakunte Cross Junctiontion
KatriguppeJunction,12.928,77.548,Katriguppe Junctiontion
SindhiColonyJunction,12.987,77.581,Sindhi Colony Junctiontion
SantheCircle,,,Santhe Circle
BangaloreBodyBuildersJunc,,,Bangalore Body Builders Junction
NavarangBarJunc-Dr RajkumarRd,12.995,77.554,Navarang Bar Junction - Dr Rajkumar Road
LeprosyhospitalJunc,12.994,77.55,Leprosyhospital Junction
HulimaveRd-BanneraghattaRdJunc,12.879,77.601,Hulimave Road - Banneraghatta Road Junction
ArakereGateJunc,12.89,77.598,Arakere Gate Junction
"Trilight Circle,Race course Road",12.982,77.58,"Trilight Circle,Race course Road"
SubbannaJunction,,,Subbanna Junctiontion
AyyappaTempleJunc,,,Ayyappa Temple Junction
AnepalyaJunc,12.952,77.609,Anepalya Junction
MintoJunction,12.958,77.576,Minto Junctiontion
VishweswaraiahJunctio(Uttamsagar),,,Vishweswaraiah Junctiontio(Uttamsagar)
NGV RearGateJunc,12.941,77.621,NGV Rear Gate Junction
VeerasandraGateJunction,12.822,77.666,Veerasandra Gate Junctiontion
"PriyadarshiniHotel,Jayamahal,RT Nagar",13.011,77.591,"Priyadarshini Hotel,Jayamahal,RT Nagar"
BigBazaar(Whitefield)Junc,12.957,77.744,Big Bazaar(Whitefield) Junction
KR Road-14thCross Junc,12.936,77.573,KR Road - 14th Cross Junction
PurnimaTheaterJunc,12.96,77.591,Purnima Theater Junction
IndianExpressJunction,12.981,77.598,Indian Express Junctiontion
HennurRoad-ORR Junc,13.033,77.636,Hennur Road - Outer Ring Road Junction
YeshwanthpuraCircle,13.019,77.554,Yeshwanthpura Circle
KhodaysCircle(DV UrsCircle),12.977,77.575,Khodays Circle(DV Urs Circle)
MahalaxmiLayoutEntranceJunc,13.012,77.549,Mahalaxmi Layout Entrance Junction
